sample,domain,phylum,class,order,family,genus
ERR4775635.1,Bacteria,Actinomycetota,Actinobacteria,Glycomycetales,Glycomycetaceae,Haloglycomyces
ERR4775635.2,Bacteria,Pseudomonadota,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geomesophilobacter
ERR4775635.3,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Reichenbachiellaceae,Ekhidna
ERR4775635.4,Bacteria,Pseudomonadota,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus
ERR4775635.5,Archaea,Woesearchaeota,AR18,AR18,AR18,AR18
ERR4775635.6,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoanaerobacter
ERR4775635.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Profundimonas
ERR4775635.8,Bacteria,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Zarconia
ERR4775635.9,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus
ERR4775635.10,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfitibacter
ERR4775635.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiosulfativibrio
ERR4775635.12,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Rhodonellum
ERR4775635.13,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Jonesiaceae,Populibacterium
ERR4775635.14,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium
ERR4775635.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Leuconostocaceae,Convivina
ERR4775635.16,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelatiniphilus
ERR4775635.17,Bacteria,Pseudomonadota,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geomobilimonas
ERR4775635.18,Bacteria,Bacillota,Bacilli,Lactobacillales,Leuconostocaceae,Convivina
ERR4775635.19,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ponticoccus
ERR4775635.20,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydibrachium
ERR4775635.21,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
ERR4775635.22,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Petroclostridium
ERR4775635.23,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia
ERR4775635.24,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Venenivibrio
ERR4775635.25,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pareuzebyella
ERR4775635.26,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Pseudoflavitalea
ERR4775635.27,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus
ERR4775635.28,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Tractidigestivibacter
ERR4775635.29,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia
ERR4775635.30,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstiella
ERR4775635.31,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinimonas
ERR4775635.32,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sungkyunkwania
ERR4775635.33,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
ERR4775635.34,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfofalx
ERR4775635.35,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Cellulomonadaceae,Tropheryma
ERR4775635.36,Bacteria,Synergistota,Synergistia,Synergistales,Aminithiophilaceae,Aminithiophilus
ERR4775635.37,Archaea,Euryarchaeota,Methanonatronarchaeia,Methanonatronarchaeales,Methanonatronarchaeaceae,Methanonatronarchaeum
ERR4775635.38,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Desertibacillus
ERR4775635.39,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aurantibacter
