sample,domain,phylum,class,order,family,genus
ERR4775580.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Salinivirgaceae,Salinivirga
ERR4775580.2,Bacteria,Balneolota,Balneolia,Balneolales,Cyclonatronaceae,Cyclonatronum
ERR4775580.3,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga
ERR4775580.4,Bacteria,Actinomycetota,Actinobacteria,Glycomycetales,Glycomycetaceae,Natronoglycomyces
ERR4775580.5,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Parapseudoflavitalea
ERR4775580.6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia
ERR4775580.7,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Dictyobacteraceae,Tengunoibacter
ERR4775580.8,Archaea,Parvarchaeota,Parvarchaeum,Parvarchaeum,Parvarchaeum,Parvarchaeum
ERR4775580.9,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Mongoliibacter
ERR4775580.10,Bacteria,Bacillota,Bacilli,Caryophanales,Thermoactinomycetaceae,Seinonella
ERR4775580.11,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Rurimicrobium
ERR4775580.12,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter
ERR4775580.13,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Fangia
ERR4775580.14,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma
ERR4775580.15,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,Kallotenuaceae,Kallotenue
ERR4775580.16,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
ERR4775580.17,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Muricomes
ERR4775580.18,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Edaphobaculum
ERR4775580.19,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma
ERR4775580.20,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Persicitalea
ERR4775580.21,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Dendrosporobacter
ERR4775580.22,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquaticitalea
ERR4775580.23,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Minunostoc
ERR4775580.24,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Catonella
ERR4775580.25,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfocucumis
ERR4775580.26,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Tepidibaculum
ERR4775580.27,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
ERR4775580.28,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Eggerthia
ERR4775580.29,Bacteria,Bacillota,Tissierellia,Tissierellales,Tissierellaceae,Sporanaerobacter
ERR4775580.30,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Bryocella
ERR4775580.31,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Fortieaceae,Calochaete
ERR4775580.32,Archaea,Pacearchaeota,AR13,AR13,AR13,AR13
ERR4775580.33,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloglomus
ERR4775580.34,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Phragmitibacter
ERR4775580.35,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Geminocystaceae,Geminocystis
ERR4775580.36,Bacteria,Bacillota,Clostridia,Eubacteriales,Symbiobacteriaceae,Caldinitratiruptor
ERR4775580.37,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus
ERR4775580.38,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Arenivirga
ERR4775580.39,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cruoricaptor
ERR4775580.40,Bacteria,Bacillota,Tissierellia,Tissierellales,Tissierellaceae,Schnuerera
ERR4775580.41,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Ornithobacterium
ERR4775580.42,Eukaryota,Plantae,Liliopsida,Poales,Poaceae,Zea
ERR4775580.43,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Crateriforma
ERR4775580.44,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Criblamydiaceae,Estrella
ERR4775580.45,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanofervidicoccus
ERR4775580.46,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Gibliniella
ERR4775580.47,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Mariniplasma
ERR4775580.48,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmatales_incertae_sedis,Thermogymnomonas
ERR4775580.49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Falsiporphyromonas
ERR4775580.50,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Seminibacterium
ERR4775580.51,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum
ERR4775580.52,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Fortieaceae,Calochaete
ERR4775580.53,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
ERR4775580.54,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Paucihalobacter
ERR4775580.55,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia
ERR4775580.56,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium
ERR4775580.57,Bacteria,Bacillota,Clostridia,Halanaerobiales,Halanaerobiaceae,Halarsenatibacter
ERR4775580.58,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Fuscovulum
ERR4775580.59,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae,Imperialibacter
ERR4775580.60,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Dictyobacteraceae,Tengunoibacter
ERR4775580.61,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halocatena
ERR4775580.62,Archaea,Aenigmarchaeota,Aenigmarchaeum,Aenigmarchaeum,Aenigmarchaeum,Aenigmarchaeum
ERR4775580.63,Bacteria,Balneolota,Balneolia,Balneolales,Cyclonatronaceae,Natronogracilivirga
ERR4775580.64,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Chloroplast,Bangiophyceae
ERR4775580.65,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfohalotomaculum
ERR4775580.66,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Rurimicrobium
ERR4775580.67,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongitalea
ERR4775580.68,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Glacieibacterium
ERR4775580.69,Bacteria,Pseudomonadota,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Emcibacter
ERR4775580.70,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Aidingibacillus
ERR4775580.71,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Breznakiellaceae,Breznakiella
ERR4775580.72,Bacteria,Actinomycetota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Neoscardovia
ERR4775580.73,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Rhabdobacter
ERR4775580.74,Bacteria,Pseudomonadota,Betaproteobacteria,Ferrovales,Ferrovaceae,Ferrovum
ERR4775580.75,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Thalassorhabdus
ERR4775580.76,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Heliimonas
ERR4775580.77,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma
ERR4775580.78,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
ERR4775580.79,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum
ERR4775580.80,Bacteria,Chloroflexota,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea
ERR4775580.81,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,Thermostilla
ERR4775580.82,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiivirga
ERR4775580.83,Bacteria,Cyanobacteriota,Cyanophyceae,Oculatellales,Oculatellaceae,Calenema
ERR4775580.84,Bacteria,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Kovacikia
ERR4775580.85,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Marinitalea
ERR4775580.86,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
ERR4775580.87,Bacteria,Chloroflexota,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus
ERR4775580.88,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetanaerobacterium
ERR4775580.89,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salinirubellus
ERR4775580.90,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter
ERR4775580.91,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rubritepida
ERR4775580.92,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Murimonas
ERR4775580.93,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Albibacterium
ERR4775580.94,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Chloroplast,Chlorarachniophyceae
ERR4775580.95,Archaea,Woesearchaeota,AR18,AR18,AR18,AR18
ERR4775580.96,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium
ERR4775580.97,Bacteria,Cyanobacteriota,Cyanophyceae,Oculatellales,Oculatellaceae,Albertania
ERR4775580.98,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Nemorincola
ERR4775580.99,Archaea,Woesearchaeota,AR20,AR20,AR20,AR20
ERR4775580.100,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Quisquiliibacterium
ERR4775580.101,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Oceaniferula
ERR4775580.102,Bacteria,Chlorobiota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Melioribacter
ERR4775580.103,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Paracnuella
ERR4775580.104,Bacteria,Calescamantes,Calescibacterium,Calescibacterium,Calescibacterium,Calescibacterium
ERR4775580.105,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudostreptobacillus
ERR4775580.106,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Tepiditoga
ERR4775580.107,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Leadbetterella
ERR4775580.108,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Tepiditoga
ERR4775580.109,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tundrisphaera
ERR4775580.110,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomicrobium
ERR4775580.111,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter
ERR4775580.112,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Parathalassolituus
ERR4775580.113,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Actimicrobium
ERR4775580.114,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus
ERR4775580.115,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
ERR4775580.116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Anaerophaga
ERR4775580.117,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salinirubrum
ERR4775580.118,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Dichotomicrobium
ERR4775580.119,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Abyssibius
ERR4775580.120,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminivibrio
ERR4775580.121,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
