S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S000095828 Actinomyces cardiffensis (T); CCUG 44997.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000111689 Actinomyces graevenitzii (T); type strain: CCUG 27294.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000125312 Actinomyces vaccimaxillae (T); R10176T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000130226 Actinomyces canis (T); CCUG 41706.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000130343 Actinomyces funkei (T); CCUG 42773.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000145435 Actinomyces nasicola (T); type strain: CCUG 46092.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000146756 Actinomyces oricola (T); type strain: CCUG 46090.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000381252 Actinomyces hyovaginalis (T); NCFB 2983.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000381439 Actinomyces europaeus (T); CCUG 32789A.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000471778 Actinomyces dentalis (T); type strain: R18165.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000557086 Actinomyces ruminicola (T); B71.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000608084 Actinomyces neuii (T); DSM 8576.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000608085 Actinomyces neuii (T); DSM 8577T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S001095188 Actinomyces massiliensis (T); 4401292.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S001294039 Actinomyces hominis (T); 7894GR.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S001328337 Actinomyces timonensis (T); 7400942.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000011030 Arcanobacterium hippocoleae (T); CCUG 44697; equine vaginal	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Arcanobacterium.
S000011541 Arcanobacterium haemolyticum (T); CIP 103370.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Arcanobacterium.
S000127675 Arcanobacterium pluranimalium (T); M430/94/2.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Arcanobacterium.
S002350823 Arcanobacterium phocae (T); type strain: DSM 10002.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Arcanobacterium.
S000003292 Mobiluncus curtisii (T); CCUG 21018.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Mobiluncus.
S000127945 Mobiluncus mulieris (T); CCUG 20071T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Mobiluncus.
S000141701 Mobiluncus curtisii (T); type strain: CCUG 17762.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Mobiluncus.
S000011542 Arcanobacterium pyogenes (T); NCTC 5224.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Trueperella.
S000472963 Arcanobacterium bialowiezense (T); type strain: 1(W3/01).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Trueperella.
S000472964 Arcanobacterium bonasi (T); type strain: 2(W106/04).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Trueperella.
S000560271 Arcanobacterium bernardiae (T); LCDC 89/0504 = DSM 9152.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Trueperella.
S000964258 Arcanobacterium abortisuis (T); Murakami.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Trueperella.
S000112115 Varibaculum cambriense (T); CCUG 44998.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Varibaculum.
S000016009 Actinopolyspora halophila (T); NCIMB 11472.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinopolysporineae;Actinopolysporaceae;Actinopolyspora.
S000730943 Actinopolyspora mortivallis (T); DSM 44261.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinopolysporineae;Actinopolysporaceae;Actinopolyspora.
S002034595 Actinopolyspora xinjiangensis (T); TRM 40136.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinopolysporineae;Actinopolysporaceae;Actinopolyspora.
S002989766 Actinopolyspora algeriensi (T); H19.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinopolysporineae;Actinopolysporaceae;Actinopolyspora.
S000539686 Actinospica acidiphila (T); type strain:GE134766=DSM 44926=NRRL	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Actinospicaceae;Actinospica.
S000617251 Actinospica robiniae (T); type strain:GE134769=DSM 44927=NRRL	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Actinospicaceae;Actinospica.
S000539682 Catenulispora acidiphila (T); type strain: ID139908 = DSM 44928 =	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Catenulisporaceae;Catenulispora.
S000543054 Catenulispora rubra (T); Aac-30.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Catenulisporaceae;Catenulispora.
S000925474 Catenulispora subtropica (T); TT 99-48 (= NBRC 103395).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Catenulisporaceae;Catenulispora.
S000925476 Catenulispora yoronensis (T); TT N02-20 (= NBRC 103397).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Catenulisporineae;Catenulisporaceae;Catenulispora.
S000001309 Corynebacterium durum (T); IBS G15036.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000003096 Corynebacterium variabile (T); DSM 20132.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000003203 Corynebacterium auriscanis (T); CCUG 39784.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000003489 Corynebacterium urealyticum (T); ATCC 43042T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000006586 Corynebacterium pseudotuberculosis (T); CIP 102968T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000007433 Corynebacterium imitans (T); 2023.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000007867 Corynebacterium mastitidis (T); S-8; CECT 4843.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
